Склад,Количество Начальный остаток,Стоимость Начальный остаток,Количество приход,Стоимость приход,Количество расход,Стоимость расход,Себест,Цена продажи,Сумма продажи,Количество Конечный остаток,Стоимость Конечный остаток,Profit,profitPR,date
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",2187.0,149002.85,4201.0,299090.3,4407.0,306257.35,68.6,85.05,372957.94,1970.0,141012.6,66700.59,21.78,2021-08-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",2988.0,176303.95,16241.0,958257.31,13716.0,808657.83,57.7,69.47,955541.7,5504.0,324748.3,146883.87,18.16,2021-08-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",1.0,61.27,4820.0,286856.98,4806.0,285208.89,58.0,74.93,361640.97,1.0,62.45,76432.08,26.8,2021-09-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",389.0,23055.23,3218.0,193405.54,3378.0,200991.3,58.35,76.9,257965.1,215.0,13539.62,56973.8,28.35,2021-09-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",3.0,352.77,2915.0,351465.9,2905.0,349075.43,117.92,139.85,412008.21,3.0,361.75,62932.78,18.03,2021-09-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",645.0,72489.65,1190.0,131826.04,1496.0,167921.99,110.05,127.99,195080.16,333.0,35521.04,27158.17,16.17,2021-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",444.0,79203.84,507.0,89775.53,590.0,104717.95,168.69,217.06,127905.05,360.0,63552.66,23187.1,22.14,2021-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1.0,62.01,4716.0,292215.03,3555.0,219533.38,60.1,79.3,276420.64,1154.0,71504.56,56887.26,25.91,2021-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",3.0,186.98,1814.0,124157.1,1418.0,96252.11,65.29,90.97,133206.86,396.0,27529.92,36954.75,38.39,2021-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1556.0,95301.87,5101.0,316227.99,5268.0,322359.26,60.1,77.0,407573.94,1385.0,88634.03,85214.68,26.43,2021-09-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",2.0,146.35,854.0,66162.72,650.0,49986.2,70.71,104.47,72662.35,202.0,15777.83,22676.15,45.36,2021-09-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",892.0,55881.83,5868.0,367726.95,5159.0,321845.39,61.84,78.81,404520.01,1600.0,100267.31,82674.62,25.69,2021-09-01
